questions,gold_answers,answers,bert_precision,bert_recall,bert_f1,bleu,rouge1,rouge1_precision,rouge1_recall,rouge1_fmeasure,rouge2,rouge2_precision,rouge2_recall,rouge2_fmeasure,rougeL,rougeL_precision,rougeL_recall,rougeL_fmeasure,ner_precision,ner_recall,ner_f1,judge_accuracy,judge_usefulness,judge_calibration,judge_relevance,judge_recall
Сколько я потратила на авиабилеты в 2024,Всего вами было потрачено 22033 рублей на авиабилеты.,"В 2024 году вы потратили 22,033.0 рублей на авиабилеты. Все эти транзакции относятся к категории ""Авиабилеты"" и были произведены в течение года",0.7106716632843018,0.8097532391548157,0.7569840550422668,0.09429254736980938,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.1875,0.25,0.21428571428571427,5,5,5,5,5
Сколько денег я потратила в Befree за год,В магазине Befree вы потратили 15425 рублей.,"За последний год вы потратили 15,425 рублей в магазине Befree. ",0.869249165058136,0.9235476851463318,0.8955761194229126,0.0,,0.5,0.3333333333333333,0.4,,0.0,0.0,0.0,,0.5,0.3333333333333333,0.4,0.25,0.25,0.25,5,5,5,5,5
Какие авиабилеты я покупала чаще?,Чаще всего вы покупали компании Ural Airlines.,"Из анализа данных по авиабилетам, приобретённым через дебетовые операции, видно, что чаще всего вы покупали билеты у авиакомпании ""Ural Airlines"" — 3 раза. Следом идёт ""Аэрофлот"" с 1 покупкой. 

",0.662324070930481,0.8168131709098816,0.7315008044242859,0.0,,1.0,0.5,0.6666666666666666,,1.0,0.3333333333333333,0.5,,1.0,0.5,0.6666666666666666,0.0,0.0,0.0,5,5,0,5,5
На какую сумму я получила переводы за апрель 2024?,За апрель вы получили переводы на сумму 46116 рублей.,"За апрель 2024 года вы получили переводы на общую сумму 78,758.95 рублей (RUB). ",0.7930172681808472,0.9065200686454773,0.8459786176681519,0.20149416157064579,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.1875,0.3333333333333333,0.23809523809523808,0,1,0,2,1
Сколько я потратила на дом и ремонт в мае?,Вы потратили 10 мая 58451 рублей.,"Извините, но в таблице нет данных о тратах на дом и ремонт за май 2023 года. Возможно, в этом месяце не было операций с этим категориям, или данные по операциям отсутствуют. ",0.5968275666236877,0.6517003774642944,0.6230581402778625,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0625,0.125,0.08333333333333333,1,2,3,2,1
В каком магазине косметики я чаще совершала покупки,Чаще всего вы совершали покупки в магазине Подружка.,"Наиболее часто совершались покупки в магазине ""Подружка"", их количество составило 3 транзакции. ",0.8179495930671692,0.8740525245666504,0.8450709581375122,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,5,5,5,5,5
Сколько денег я потратила на мобильную связь за 2024 год?,Всего на мобильную связь вы потратили 5415 рублей.,За 2024 год вы потратили 5415.0 рублей на мобильную связь,0.820296585559845,0.882190465927124,0.8501185178756714,0.0,,1.0,0.3333333333333333,0.5,,0.0,0.0,0.0,,1.0,0.3333333333333333,0.5,0.16666666666666666,0.25,0.2,5,5,0,5,5
На какую сумму была покупка в Золотом Яблоке?,"Последняя покупка была совершена на 1360,41 рубля.","Последняя покупка в ""Золотом Яблоке"" состоялась 17 июля 2024 года, её сумма составила 96.0 рублей",0.7033900022506714,0.7748448848724365,0.7373904585838318,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0,1,0,3,0
Сумма последней поездки на Яндекс такси,Последний раз вы потратили в Яндекс.Такси 814 рубля.,Последняя поездка на Яндекс Такси обошлась в 814 рублей. Она была совершена 8 сентября 2024 года. ,0.6935016512870789,0.7516798973083496,0.7214196920394897,0.0,,1.0,0.3333333333333333,0.5,,0.0,0.0,0.0,,1.0,0.3333333333333333,0.5,0.25,0.25,0.25,5,5,5,5,5
Когда был последний платеж по кредиту?,Последний платёж по кредиту был совершён 5 декабря.,"Извините, я не нашёл информацию о последнем платеже по кредиту. Возможно, ваши данные не содержат записи о таких операциях. Пожалуйста, проверьте наличие необходимой информации",0.61693274974823,0.6849766373634338,0.6491765379905701,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,2,3,2,1
